0001, Nineteen Eighty-Four, 2025-12-18, hangman
0041, The vegetarian, 2025-12-18, cypher
0042, Doctor Sax, 2025-12-19, hangman
0043, All the light we cannot see, 2025-12-19, cypher
0044, The call of the wild, 2025-12-20, hangman
0023, Atonement, 2025-12-20, cypher
0026, David Copperfield, 2025-12-21, hangman
0035, Da Vinci Code, 2025-12-21, cypher
0027, A portrait of the artist as a young man, 2025-12-22, hangman
0028, No longer human, 2025-12-22, cypher
0036, Zen and the art of motorcycle maintenance, 2025-12-23, hangman
0030, Gone before goodbye, 2025-12-23, cypher
0034, Conclave, 2025-12-24, hangman
0038, Zane and the hurricane, 2025-12-24, cypher
0002, Pride and Prejudice, 2025-12-25, hangman
0004, The great Gatsby, 2025-12-25, cypher
0003, 1Q84, 2025-12-26, hangman
0005, One flew over the cuckoo's nest, 2025-12-26, cypher
0006, The bell jar, 2025-12-27, hangman
0008, Tales from the perilous realm, 2025-12-27, cypher
0009, Dune messiah, 2025-12-28, hangman
0010, The handmaid's tale, 2025-12-28, cypher
0039, The zookeeper's wife, 2025-12-29, hangman
0040, Zeitoun, 2025-12-29, cypher
0020, Little women, 2025-12-30, hangman
0017, Murder on the Orient Express, 2025-12-30, cypher
0018, Jurassic Park, 2025-12-31, hangman
0019, Crime and punishment, 2025-12-31, cypher
0016, Interview with a vampire, 2026-01-01, hangman
0015, Frankenstein, 2026-01-01, cypher
0013, A brief history of time, 2026-01-02, hangman
0012, The hitchhiker's guide to the galaxy, 2026-01-02, cypher
0011, Catching fire, 2026-01-03, hangman
0007, The stand, 2026-01-03, cypher
0014, The dharma bums, 2026-01-04, hangman
0021, Neuromancer, 2026-01-04, cypher
0022, The librarianist, 2026-01-05, hangman
0024, Fear and loathing in Las Vegas, 2026-01-05, cypher
0025, Gulliver's travels, 2026-01-06, hangman
0029, Dungeon crawler Carl, 2026-01-06, cypher
0031, Gone girl, 2026-01-07, hangman
0037, Zero history, 2026-01-07, cypher
0032, The girl in the spider's web, 2026-01-08, hangman
0033, Girl with a pearl earring, 2026-01-08, cypher
0045, A wrinkle in time, 2026-01-09, hangman
0046, The myth of Sisyphus, 2026-01-09, cypher
0047, Charlotte's web, 2026-01-10, hangman
0048, Carrie, 2026-01-10, cypher
0056, A clockwork orange, 2026-01-11, hangman
0055, The old man and the sea, 2026-01-11, cypher
0057, Animal dreams, 2026-01-12, hangman
0058, Ringworld, 2026-01-12, cypher
0060, Where the red fern grows, 2026-01-13, hangman
0059, Bridge to terabithia, 2026-01-13, cypher  
0061, Brave new world, 2026-01-14, hangman
0062, the lion the witch and the wardrobe, 2026-01-14, cypher
0063, A scanner darkly, 2026-01-15, hangman
0064, Sense and sensibility, 2026-01-15, cypher